PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
0157108411012,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411013,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411014,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411015,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411016,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411017,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411018,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411019,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411020,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108411021,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412001,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412002,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412003,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412004,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412005,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412006,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412007,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412008,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412009,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412010,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412011,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412012,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412013,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412014,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412015,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412016,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412017,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412018,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412019,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412020,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412021,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412022,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412023,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412024,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412025,COT,PD,Single-Family Neighborhoods,TALON POINTE
0157108412026,COT,PD,Single-Family Neighborhoods,TALON POINTE
